"dma_json_code","date","keyword","hits","ratio"
"US-AL",2018-11-01,"%2Fm%2F03m50g4",20,1.35039407837693
"US-AL",2018-12-01,"%2Fm%2F03m50g4",20,1.35039407837693
"US-AL",2019-01-01,"%2Fm%2F03m50g4",13,1.35039407837693
"US-AL",2019-02-01,"%2Fm%2F03m50g4",30,1.35039407837693
"US-AL",2019-03-01,"%2Fm%2F03m50g4",23,1.35039407837693
"US-AL",2019-04-01,"%2Fm%2F03m50g4",34,1.35039407837693
"US-AL",2019-05-01,"%2Fm%2F03m50g4",20,1.35039407837693
"US-AL",2019-06-01,"%2Fm%2F03m50g4",14,1.35039407837693
"US-AL",2019-07-01,"%2Fm%2F03m50g4",27,1.35039407837693
"US-AL",2019-08-01,"%2Fm%2F03m50g4",26,1.35039407837693
"US-AL",2019-09-01,"%2Fm%2F03m50g4",43,1.35039407837693
"US-AL",2019-10-01,"%2Fm%2F03m50g4",21,1.35039407837693
"US-AL",2019-11-01,"%2Fm%2F03m50g4",15,1.35039407837693
"US-AL",2019-12-01,"%2Fm%2F03m50g4",3,1.35039407837693
"US-AL",2020-01-01,"%2Fm%2F03m50g4",11,1.35039407837693
"US-AL",2020-02-01,"%2Fm%2F03m50g4",59,1.35039407837693
"US-AL",2020-03-01,"%2Fm%2F03m50g4",24,1.35039407837693
"US-AL",2020-04-01,"%2Fm%2F03m50g4",13,1.35039407837693
"US-AL",2020-05-01,"%2Fm%2F03m50g4",3,1.35039407837693
"US-AL",2020-06-01,"%2Fm%2F03m50g4",8,1.35039407837693
"US-AL",2020-07-01,"%2Fm%2F03m50g4",14,1.35039407837693
"US-AL",2020-08-01,"%2Fm%2F03m50g4",11,1.35039407837693
"US-AL",2020-09-01,"%2Fm%2F03m50g4",19,1.35039407837693
"US-AL",2020-10-01,"%2Fm%2F03m50g4",9,1.35039407837693
"US-AL",2020-11-01,"%2Fm%2F03m50g4",9,1.35039407837693
"US-AL",2020-12-01,"%2Fm%2F03m50g4",9,1.35039407837693
