"dma_json_code","date","keyword","hits","ratio"
"US-AK",2016-07-01,"%2Fm%2F027vd9",0,1.27629851917751
"US-AK",2016-08-01,"%2Fm%2F027vd9",50,1.27629851917751
"US-AK",2016-09-01,"%2Fm%2F027vd9",41,1.27629851917751
"US-AK",2016-10-01,"%2Fm%2F027vd9",50,1.27629851917751
"US-AK",2016-11-01,"%2Fm%2F027vd9",25,1.27629851917751
"US-AK",2016-12-01,"%2Fm%2F027vd9",42,1.27629851917751
"US-AK",2017-01-01,"%2Fm%2F027vd9",32,1.27629851917751
"US-AK",2017-02-01,"%2Fm%2F027vd9",34,1.27629851917751
"US-AK",2017-03-01,"%2Fm%2F027vd9",31,1.27629851917751
"US-AK",2017-04-01,"%2Fm%2F027vd9",49,1.27629851917751
"US-AK",2017-05-01,"%2Fm%2F027vd9",25,1.27629851917751
"US-AK",2017-06-01,"%2Fm%2F027vd9",18,1.27629851917751
"US-AK",2017-07-01,"%2Fm%2F027vd9",18,1.27629851917751
"US-AK",2017-08-01,"%2Fm%2F027vd9",40,1.27629851917751
"US-AK",2017-09-01,"%2Fm%2F027vd9",8,1.27629851917751
"US-AK",2017-10-01,"%2Fm%2F027vd9",24,1.27629851917751
"US-AK",2017-11-01,"%2Fm%2F027vd9",33,1.27629851917751
"US-AK",2017-12-01,"%2Fm%2F027vd9",48,1.27629851917751
"US-AK",2018-01-01,"%2Fm%2F027vd9",23,1.27629851917751
"US-AK",2018-02-01,"%2Fm%2F027vd9",50,1.27629851917751
"US-AK",2018-03-01,"%2Fm%2F027vd9",15,1.27629851917751
"US-AK",2018-04-01,"%2Fm%2F027vd9",79,1.27629851917751
"US-AK",2018-05-01,"%2Fm%2F027vd9",63,1.27629851917751
"US-AK",2018-06-01,"%2Fm%2F027vd9",32,1.27629851917751
"US-AK",2018-07-01,"%2Fm%2F027vd9",16,1.27629851917751
"US-AK",2018-08-01,"%2Fm%2F027vd9",38,1.27629851917751
"US-AK",2018-09-01,"%2Fm%2F027vd9",100,1.27629851917751
"US-AK",2018-10-01,"%2Fm%2F027vd9",61,1.27629851917751
"US-AK",2018-11-01,"%2Fm%2F027vd9",30,1.27629851917751
"US-AK",2018-12-01,"%2Fm%2F027vd9",34,1.27629851917751
"US-AK",2019-01-01,"%2Fm%2F027vd9",16,1.27629851917751
"US-AK",2019-02-01,"%2Fm%2F027vd9",72,1.27629851917751
"US-AK",2019-03-01,"%2Fm%2F027vd9",50,1.27629851917751
"US-AK",2019-04-01,"%2Fm%2F027vd9",8,1.27629851917751
"US-AK",2019-05-01,"%2Fm%2F027vd9",25,1.27629851917751
"US-AK",2019-06-01,"%2Fm%2F027vd9",16,1.27629851917751
"US-AK",2019-07-01,"%2Fm%2F027vd9",46,1.27629851917751
"US-AK",2019-08-01,"%2Fm%2F027vd9",38,1.27629851917751
"US-AK",2019-09-01,"%2Fm%2F027vd9",45,1.27629851917751
"US-AK",2019-10-01,"%2Fm%2F027vd9",84,1.27629851917751
"US-AK",2019-11-01,"%2Fm%2F027vd9",30,1.27629851917751
"US-AK",2019-12-01,"%2Fm%2F027vd9",40,1.27629851917751
"US-AK",2020-01-01,"%2Fm%2F027vd9",15,1.27629851917751
"US-AK",2020-02-01,"%2Fm%2F027vd9",32,1.27629851917751
"US-AK",2020-03-01,"%2Fm%2F027vd9",28,1.27629851917751
"US-AK",2020-04-01,"%2Fm%2F027vd9",13,1.27629851917751
"US-AK",2020-05-01,"%2Fm%2F027vd9",20,1.27629851917751
"US-AK",2020-06-01,"%2Fm%2F027vd9",37,1.27629851917751
"US-AK",2020-07-01,"%2Fm%2F027vd9",29,1.27629851917751
"US-AK",2020-08-01,"%2Fm%2F027vd9",14,1.27629851917751
"US-AK",2020-09-01,"%2Fm%2F027vd9",30,1.27629851917751
"US-AK",2020-10-01,"%2Fm%2F027vd9",33,1.27629851917751
"US-AK",2020-11-01,"%2Fm%2F027vd9",25,1.27629851917751
"US-AK",2020-12-01,"%2Fm%2F027vd9",60,1.27629851917751
"US-AK",2021-01-01,"%2Fm%2F027vd9",17,1.27629851917751
"US-AK",2021-02-01,"%2Fm%2F027vd9",9,1.27629851917751
"US-AK",2021-03-01,"%2Fm%2F027vd9",19,1.27629851917751
"US-AL",2012-01-01,"%2Fm%2F027vd9",50,1.54291308667755
"US-AL",2012-02-01,"%2Fm%2F027vd9",58,1.54291308667755
"US-AL",2012-03-01,"%2Fm%2F027vd9",50,1.54291308667755
"US-AL",2012-04-01,"%2Fm%2F027vd9",89,1.54291308667755
"US-AL",2012-05-01,"%2Fm%2F027vd9",49,1.54291308667755
"US-AL",2012-06-01,"%2Fm%2F027vd9",28,1.54291308667755
"US-AL",2012-07-01,"%2Fm%2F027vd9",36,1.54291308667755
"US-AL",2012-08-01,"%2Fm%2F027vd9",35,1.54291308667755
"US-AL",2012-09-01,"%2Fm%2F027vd9",66,1.54291308667755
"US-AL",2012-10-01,"%2Fm%2F027vd9",61,1.54291308667755
"US-AL",2012-11-01,"%2Fm%2F027vd9",48,1.54291308667755
"US-AL",2012-12-01,"%2Fm%2F027vd9",31,1.54291308667755
"US-AL",2013-01-01,"%2Fm%2F027vd9",44,1.54291308667755
"US-AL",2013-02-01,"%2Fm%2F027vd9",51,1.54291308667755
"US-AL",2013-03-01,"%2Fm%2F027vd9",73,1.54291308667755
"US-AL",2013-04-01,"%2Fm%2F027vd9",46,1.54291308667755
"US-AL",2013-05-01,"%2Fm%2F027vd9",26,1.54291308667755
"US-AL",2013-06-01,"%2Fm%2F027vd9",14,1.54291308667755
"US-AL",2013-07-01,"%2Fm%2F027vd9",13,1.54291308667755
"US-AL",2013-08-01,"%2Fm%2F027vd9",31,1.54291308667755
"US-AL",2013-09-01,"%2Fm%2F027vd9",71,1.54291308667755
"US-AL",2013-10-01,"%2Fm%2F027vd9",98,1.54291308667755
"US-AL",2013-11-01,"%2Fm%2F027vd9",100,1.54291308667755
"US-AL",2013-12-01,"%2Fm%2F027vd9",42,1.54291308667755
"US-AL",2014-01-01,"%2Fm%2F027vd9",39,1.54291308667755
"US-AL",2014-02-01,"%2Fm%2F027vd9",65,1.54291308667755
"US-AL",2014-03-01,"%2Fm%2F027vd9",40,1.54291308667755
"US-AL",2014-04-01,"%2Fm%2F027vd9",53,1.54291308667755
"US-AL",2014-05-01,"%2Fm%2F027vd9",46,1.54291308667755
"US-AL",2014-06-01,"%2Fm%2F027vd9",28,1.54291308667755
"US-AL",2014-07-01,"%2Fm%2F027vd9",18,1.54291308667755
"US-AL",2014-08-01,"%2Fm%2F027vd9",33,1.54291308667755
"US-AL",2014-09-01,"%2Fm%2F027vd9",32,1.54291308667755
"US-AL",2014-10-01,"%2Fm%2F027vd9",63,1.54291308667755
"US-AL",2014-11-01,"%2Fm%2F027vd9",41,1.54291308667755
"US-AL",2014-12-01,"%2Fm%2F027vd9",38,1.54291308667755
"US-AL",2015-01-01,"%2Fm%2F027vd9",26,1.54291308667755
"US-AL",2015-02-01,"%2Fm%2F027vd9",50,1.54291308667755
"US-AL",2015-03-01,"%2Fm%2F027vd9",56,1.54291308667755
"US-AL",2015-04-01,"%2Fm%2F027vd9",45,1.54291308667755
"US-AL",2015-05-01,"%2Fm%2F027vd9",38,1.54291308667755
"US-AL",2015-06-01,"%2Fm%2F027vd9",20,1.54291308667755
"US-AL",2015-07-01,"%2Fm%2F027vd9",27,1.54291308667755
"US-AL",2015-08-01,"%2Fm%2F027vd9",24,1.54291308667755
"US-AL",2015-09-01,"%2Fm%2F027vd9",45,1.54291308667755
"US-AL",2015-10-01,"%2Fm%2F027vd9",65,1.54291308667755
"US-AL",2015-11-01,"%2Fm%2F027vd9",56,1.54291308667755
