dma_json_code,date,keyword,hits,ratio
US-AK,2016-07-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2016-08-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2016-09-01,%2Fm%2F07km37,55,1.9717858313026
US-AK,2016-10-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2016-11-01,%2Fm%2F07km37,28,1.9717858313026
US-AK,2016-12-01,%2Fm%2F07km37,27,1.9717858313026
US-AK,2017-01-01,%2Fm%2F07km37,53,1.9717858313026
US-AK,2017-02-01,%2Fm%2F07km37,28,1.9717858313026
US-AK,2017-03-01,%2Fm%2F07km37,75,1.9717858313026
US-AK,2017-04-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2017-05-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2017-06-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2017-07-01,%2Fm%2F07km37,29,1.9717858313026
US-AK,2017-08-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2017-09-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2017-10-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2017-11-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2017-12-01,%2Fm%2F07km37,26,1.9717858313026
US-AK,2018-01-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2018-02-01,%2Fm%2F07km37,28,1.9717858313026
US-AK,2018-03-01,%2Fm%2F07km37,25,1.9717858313026
US-AK,2018-04-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2018-05-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2018-06-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2018-07-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2018-08-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2018-09-01,%2Fm%2F07km37,27,1.9717858313026
US-AK,2018-10-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2018-11-01,%2Fm%2F07km37,25,1.9717858313026
US-AK,2018-12-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2019-01-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2019-02-01,%2Fm%2F07km37,59,1.9717858313026
US-AK,2019-03-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2019-04-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2019-05-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2019-06-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2019-07-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2019-08-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2019-09-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2019-10-01,%2Fm%2F07km37,25,1.9717858313026
US-AK,2019-11-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2019-12-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-01-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-02-01,%2Fm%2F07km37,26,1.9717858313026
US-AK,2020-03-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-04-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-05-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-06-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-07-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-08-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-09-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-10-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-11-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2020-12-01,%2Fm%2F07km37,28,1.9717858313026
US-AK,2021-01-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2021-02-01,%2Fm%2F07km37,0,1.9717858313026
US-AK,2021-03-01,%2Fm%2F07km37,0,1.9717858313026
US-AL,2012-01-01,%2Fm%2F07km37,32,2.71795316151522
US-AL,2012-02-01,%2Fm%2F07km37,13,2.71795316151522
US-AL,2012-03-01,%2Fm%2F07km37,26,2.71795316151522
US-AL,2012-04-01,%2Fm%2F07km37,60,2.71795316151522
US-AL,2012-05-01,%2Fm%2F07km37,40,2.71795316151522
US-AL,2012-06-01,%2Fm%2F07km37,20,2.71795316151522
US-AL,2012-07-01,%2Fm%2F07km37,19,2.71795316151522
US-AL,2012-08-01,%2Fm%2F07km37,6,2.71795316151522
US-AL,2012-09-01,%2Fm%2F07km37,25,2.71795316151522
US-AL,2012-10-01,%2Fm%2F07km37,45,2.71795316151522
US-AL,2012-11-01,%2Fm%2F07km37,25,2.71795316151522
US-AL,2012-12-01,%2Fm%2F07km37,29,2.71795316151522
US-AL,2013-01-01,%2Fm%2F07km37,24,2.71795316151522
US-AL,2013-02-01,%2Fm%2F07km37,17,2.71795316151522
US-AL,2013-03-01,%2Fm%2F07km37,35,2.71795316151522
US-AL,2013-04-01,%2Fm%2F07km37,32,2.71795316151522
US-AL,2013-05-01,%2Fm%2F07km37,11,2.71795316151522
US-AL,2013-06-01,%2Fm%2F07km37,0,2.71795316151522
US-AL,2013-07-01,%2Fm%2F07km37,5,2.71795316151522
US-AL,2013-08-01,%2Fm%2F07km37,21,2.71795316151522
US-AL,2013-09-01,%2Fm%2F07km37,51,2.71795316151522
US-AL,2013-10-01,%2Fm%2F07km37,100,2.71795316151522
US-AL,2013-11-01,%2Fm%2F07km37,86,2.71795316151522
US-AL,2013-12-01,%2Fm%2F07km37,48,2.71795316151522
US-AL,2014-01-01,%2Fm%2F07km37,9,2.71795316151522
US-AL,2014-02-01,%2Fm%2F07km37,48,2.71795316151522
US-AL,2014-03-01,%2Fm%2F07km37,29,2.71795316151522
US-AL,2014-04-01,%2Fm%2F07km37,53,2.71795316151522
US-AL,2014-05-01,%2Fm%2F07km37,20,2.71795316151522
US-AL,2014-06-01,%2Fm%2F07km37,0,2.71795316151522
US-AL,2014-07-01,%2Fm%2F07km37,16,2.71795316151522
US-AL,2014-08-01,%2Fm%2F07km37,15,2.71795316151522
US-AL,2014-09-01,%2Fm%2F07km37,74,2.71795316151522
US-AL,2014-10-01,%2Fm%2F07km37,62,2.71795316151522
US-AL,2014-11-01,%2Fm%2F07km37,45,2.71795316151522
US-AL,2014-12-01,%2Fm%2F07km37,44,2.71795316151522
US-AL,2015-01-01,%2Fm%2F07km37,37,2.71795316151522
US-AL,2015-02-01,%2Fm%2F07km37,23,2.71795316151522
US-AL,2015-03-01,%2Fm%2F07km37,67,2.71795316151522
US-AL,2015-04-01,%2Fm%2F07km37,17,2.71795316151522
US-AL,2015-05-01,%2Fm%2F07km37,18,2.71795316151522
US-AL,2015-06-01,%2Fm%2F07km37,0,2.71795316151522
US-AL,2015-07-01,%2Fm%2F07km37,23,2.71795316151522
US-AL,2015-08-01,%2Fm%2F07km37,32,2.71795316151522
US-AL,2015-09-01,%2Fm%2F07km37,55,2.71795316151522
US-AL,2015-10-01,%2Fm%2F07km37,53,2.71795316151522
US-AL,2015-11-01,%2Fm%2F07km37,45,2.71795316151522
US-AL,2015-12-01,%2Fm%2F07km37,40,2.71795316151522
US-AL,2016-01-01,%2Fm%2F07km37,26,2.71795316151522
US-AL,2016-02-01,%2Fm%2F07km37,46,2.71795316151522
US-AL,2016-03-01,%2Fm%2F07km37,16,2.71795316151522
US-AL,2016-04-01,%2Fm%2F07km37,26,2.71795316151522
US-AL,2016-05-01,%2Fm%2F07km37,34,2.71795316151522
US-AL,2016-06-01,%2Fm%2F07km37,3,2.71795316151522
US-AL,2016-07-01,%2Fm%2F07km37,7,2.71795316151522
US-AL,2016-08-01,%2Fm%2F07km37,20,2.71795316151522
US-AL,2016-09-01,%2Fm%2F07km37,22,2.71795316151522
US-AL,2016-10-01,%2Fm%2F07km37,54,2.71795316151522
US-AL,2016-11-01,%2Fm%2F07km37,28,2.71795316151522
US-AL,2016-12-01,%2Fm%2F07km37,30,2.71795316151522
US-AL,2017-01-01,%2Fm%2F07km37,26,2.71795316151522
US-AL,2017-02-01,%2Fm%2F07km37,21,2.71795316151522
US-AL,2017-03-01,%2Fm%2F07km37,22,2.71795316151522
US-AL,2017-04-01,%2Fm%2F07km37,20,2.71795316151522
US-AL,2017-05-01,%2Fm%2F07km37,9,2.71795316151522
US-AL,2017-06-01,%2Fm%2F07km37,6,2.71795316151522
US-AL,2017-07-01,%2Fm%2F07km37,3,2.71795316151522
US-AL,2017-08-01,%2Fm%2F07km37,34,2.71795316151522
US-AL,2017-09-01,%2Fm%2F07km37,20,2.71795316151522
US-AL,2017-10-01,%2Fm%2F07km37,28,2.71795316151522
US-AL,2017-11-01,%2Fm%2F07km37,25,2.71795316151522
US-AL,2017-12-01,%2Fm%2F07km37,11,2.71795316151522
US-AL,2018-01-01,%2Fm%2F07km37,10,2.71795316151522
US-AL,2018-02-01,%2Fm%2F07km37,25,2.71795316151522
US-AL,2018-03-01,%2Fm%2F07km37,10,2.71795316151522
US-AL,2018-04-01,%2Fm%2F07km37,22,2.71795316151522
US-AL,2018-05-01,%2Fm%2F07km37,28,2.71795316151522
US-AL,2018-06-01,%2Fm%2F07km37,3,2.71795316151522
US-AL,2018-07-01,%2Fm%2F07km37,8,2.71795316151522
US-AL,2018-08-01,%2Fm%2F07km37,14,2.71795316151522
US-AL,2018-09-01,%2Fm%2F07km37,11,2.71795316151522
US-AL,2018-10-01,%2Fm%2F07km37,30,2.71795316151522
US-AL,2018-11-01,%2Fm%2F07km37,33,2.71795316151522
US-AL,2018-12-01,%2Fm%2F07km37,17,2.71795316151522
US-AL,2019-01-01,%2Fm%2F07km37,28,2.71795316151522
US-AL,2019-02-01,%2Fm%2F07km37,17,2.71795316151522
US-AL,2019-03-01,%2Fm%2F07km37,5,2.71795316151522
US-AL,2019-04-01,%2Fm%2F07km37,20,2.71795316151522
